model:irisX8 | brand:iris | version:4.4.2
model:vivo+X5L | brand:vivo | version:4.4.2
model:ZTE+A880 | brand:ZTE | version:4.4.4
model:Aquaris+E5+FHD | brand:bq | version:4.4.2
model:%E3%80%80%E3%80%80 | brand:Huawei | version:4.4.4
model:SM-N750 | brand:samsung | version:4.4.2
model:MediaPad+T1+8.0+Pro | brand:Huawei | version:4.4.4
model:KINGSUN-F3 | brand:KINGSUN | version:4.4.4
model:VIVO | brand:VIVO | version:4.4.2
model:D5103 | brand:Sony | version:4.4.4
model:Lenovo+2+A7-30TC | brand:Lenovo | version:4.4.2
model:TAB+10.1 | brand:JTY | version:4.4.2
model:ZTE+S2002 | brand:ZTE | version:4.4.2
model:BenWee+V9 | brand:BenWee | version:4.4.4
model:T800S | brand:SAMSUNG | version:4.4.2
model:Lenovo+A3600-d | brand:Lenovo | version:4.4.2
model:QuadCore-R16 | brand:TW | version:4.4.2
model:YQ607 | brand:smartisan | version:4.4.4
model:HTC+D820u | brand:htc | version:4.4.4
model:F80 | brand:changhong | version:4.4.2
model:YD206 | brand:YotaPhone | version:4.4.3
model:LG-E975 | brand:lge | version:4.4.2
model:Hol-U19 | brand:HUAWEI | version:4.4.2
model:YD201 | brand:YotaPhone | version:4.4.3
model:GLX+Spider1S | brand:GLX | version:4.4.2
model:M51w | brand:Sony | version:4.4.2
model:ZTE+Q802D | brand:ZTE | version:4.4.4
model:vivo+Y17W | brand:vivo | version:4.2.2
model:Che2-TL00 | brand:Honor | version:4.4.2
model:D5303 | brand:Sony | version:4.4.3
model:T1-701ua | brand:Huawei | version:4.4.2
model:P89+3G%E5%85%AB%E6%A0%B8%28D1H8%29 | brand:Teclast | version:4.4.2
model:SK3-02 | brand:ivvi | version:4.4.4
model:BIHEE+A7 | brand:BIHEE+A7 | version:4.4.4
model:Bird+L7 | brand:Bird | version:4.4.2
model:X1 | brand:HMI | version:4.4.4
model:m1 | brand:Meizu | version:4.4.4
model:HM+NOTE+1LTETD | brand:Xiaomi | version:4.4.2
model:G4 | brand:MASTONE | version:4.4.3
model:A208_8G_base | brand:MAC | version:4.4.2
model:T11 | brand:changhong | version:4.4.4
model:C6903 | brand:Sony | version:4.4.4
model:HM+NOTE+1LTETD | brand:Xiaomi | version:4.4.4
model:Coolpad+T2-W01 | brand:Coolpad | version:4.4.4
model:HUAWEI+Y635-CL00 | brand:Huawei | version:4.4.4
model:callbar+T58 | brand:CALLBAR | version:4.4.2
model:HM+NOTE+1W | brand:Xiaomi | version:4.4.2
model:BOWAY+TL3000 | brand:BOWAY | version:4.4.2
model:Lenovo+A3800-d | brand:Lenovo | version:4.4.2
model:2013023 | brand:Xiaomi | version:4.4.2
model:LC-1022W | brand:JTY | version:4.4.2
model:HOLDS+K5 | brand:alps | version:4.4.4
model:AMOI-A702 | brand:AMOI-A702 | version:4.4.2
model:SM-N9008S | brand:samsung | version:4.4.2
model:XBS | brand:XBS | version:4.4.4
model:GOLY+X3 | brand:GOLY | version:4.4.2
model:SM-N9108V | brand:samsung | version:4.4.4
model:vivo+X5V | brand:vivo | version:4.4.4
model:DOOV+L3 | brand:DOOV | version:4.4.4
model:HTC_D620u | brand:htc | version:4.4.4
model:LG-LS995 | brand:lge | version:4.4.2
model:Lenovo+A808t-i | brand:Lenovo | version:4.4.2
model:M355 | brand:Meizu | version:4.4.4
model:AMOI_A702 | brand:AMOI | version:4.4.2
model:M1L | brand:koobee | version:4.4.4
model:T1-A21w | brand:Huawei | version:4.4.4
model:S76 | brand:ZOOCH_K03B | version:4.4.2
model:HTC+8088 | brand:htc | version:4.4.2
model:HUAWEI+C8815 | brand:Huawei | version:4.1.2
model:2014821 | brand:Xiaomi | version:4.4.4
model:T8550 | brand:OUmjo | version:4.4.2
model:BenWee+V5 | brand:BenWee | version:4.4.4
model:SS122 | brand:SUGAR | version:4.4.4
model:Lenovo+S60-w | brand:Lenovo | version:4.4.4
model:ZTE+G720T | brand:ZTE | version:4.4.4
model:Lenovo+S860e | brand:Lenovo | version:4.4.2
model:G0111 | brand:GREE | version:4.4.4
model:HTC+One | brand:VERIZON | version:4.4.3
model:2014501 | brand:Xiaomi | version:4.4.2
model:LA2-S | brand:YUSUN | version:4.4.4
model:vivo+Y928 | brand:vivo | version:4.4.4
model:6S | brand:4G | version:4.4.2
model:H10G | brand:Hizee | version:4.4.2
model:LC-921W | brand:LC-921W | version:4.4.2
model:VT5000 | brand:VT5000 | version:4.4.4
model:Lenovo+A936 | brand:Lenovo | version:4.4.4
model:Amazing+A5S | brand:TWM | version:4.4.2
model:R7 | brand:eimiee | version:4.4.4
model:MEEG+103X | brand:MEEG | version:4.4.2
model:L35h | brand:Sony | version:4.4.2
model:SM-G7106 | brand:samsung | version:4.3
model:GM | brand:Gnnmi | version:4.4.2
model:DOOV+L1 | brand:DOOV | version:4.4.4
model:V188 | brand:GiONEE | version:4.4.2
model:KONKA+D557 | brand:KONKA | version:4.4.4
model:TCL+P332U%2B | brand:TCL | version:4.4.4
model:M5 | brand:weiimi | version:4.4.2
model:S3 | brand:koobee | version:4.4.4
model:Hisense+H910 | brand:Hisense | version:4.4.4
model:P6-U06 | brand:Huawei | version:4.4.2
model:NOAIN+X7 | brand:NOAIN | version:4.4.4
model:P98+3G%E5%85%AB%E6%A0%B8%28A9H8%29 | brand:Teclast | version:4.4.2
model:L55t | brand:Sony | version:4.4.4
model:Coolpad+5263CS | brand:Coolpad | version:4.4.4
model:Lenovo+S658t | brand:Lenovo | version:4.2.2
model:AUX+T6200L | brand:AUX | version:4.4.4
model:Lenovo+A3900 | brand:Lenovo | version:4.4.3
model:SAMSUNG+T950S | brand:SAMSUNG+T950S | version:4.4.2
model:K2-01 | brand:ivvi | version:4.4.4
model:Q1 | brand:HUMI | version:4.4.4
model:Lovme-T5 | brand:Lovme | version:4.4.2
model:T1-821w | brand:Huawei | version:4.4.4
model:Hisense+I639M | brand:Hisense | version:4.4.4
model:HUAWEI+D2-0082 | brand:Huawei | version:4.4.2
model:Nibiru+H1 | brand:K-Touch | version:4.4.2
model:TCL+P301M | brand:TCL | version:4.4.2
model:K-Touch+W88 | brand:K-Touch | version:4.4.2
model:NewTab+CS1 | brand:Infocus | version:4.4.2
model:Lenovo+B6000-H | brand:Lenovo | version:4.4.2
model:PE-UL00 | brand:Huawei | version:4.4.2
model:K-Touch+K1 | brand:qcom | version:4.4.4
model:momo9_3Q | brand:PLOYER | version:4.4.2
model:One | brand:htc | version:4.4.4
model:oneBoard+Pro%2B | brand:Acooo | version:4.4.2
model:Nexus+7 | brand:google | version:4.4.2
model:ZTE-Q2S+C | brand:ZTE | version:4.4.2
model:H3000 | brand:SanCup | version:4.4.2
model:M963 | brand:AH | version:4.4.2
model:PioneerW8 | brand:Pioneer | version:4.4.2
model:Nexus+7 | brand:google | version:4.4.3
model:IPH8 | brand:IPH | version:4.4.4
model:NX506J | brand:nubia | version:4.4.2
model:Coolpad+8713 | brand:Coolpad | version:4.4.4
model:HL-6373T | brand:Haier | version:4.4.2
model:OPPO+R7s | brand:OPPO | version:4.4.4
model:X9000 | brand:OPPO | version:4.4.4
model:M8 | brand:Coolpad | version:4.4.4
model:HTC+M8St | brand:htc | version:4.4.2
model:CHE-TL00 | brand:Honor | version:4.4.2
model:Lenovo+K30-T | brand:Lenovo | version:4.4.4
model:TCL+P307L | brand:TCL | version:4.4.4
model:vivo+Y13i | brand:vivo | version:4.4.4
model:IPH600 | brand:IPH | version:4.4.2
model:vivo+Y28L | brand:vivo | version:4.4.4
model:HS-I630T | brand:Hisense | version:4.4.2
model:U707T | brand:OPPO | version:4.2.1
model:Pioneer+M1 | brand:Pioneer | version:4.4.4
model:Lenovo+X2-CU | brand:Lenovo | version:4.4.2
model:HUAWEI+C8813 | brand:Huawei | version:4.1.1
model:KONKA+K23 | brand:alps | version:4.4.2
model:Philips+V989 | brand:Philips+V989 | version:4.4.4
model:HUAWEI+MT7-L09 | brand:Huawei | version:4.4.2
model:DOOV+T20L | brand:DOOV | version:4.4.4
model:ChanghongN1 | brand:Changhong | version:4.4.4
model:HUAWEI+Y516-T00 | brand:HUAWEI | version:4.2.2
model:GUOMI+M6F | brand:GUOMI | version:4.4.2
model:M356 | brand:Meizu | version:4.4.4
model:Kindle+Fire+HDX+7 | brand:google | version:4.4.4
